01,10,14,18,38,44,
01,09,15,17,39,42,
09,18,20,23,38,49,
19,27,28,30,31,36,
10,20,21,30,38,41,
01,10,13,26,33,43,
02,17,18,24,25,46,
05,09,10,11,16,48,
01,05,14,23,30,41,
15,25,28,33,38,47,
03,08,09,18,46,49,
03,06,16,25,34,42,
01,24,33,37,47,48,
14,24,34,38,42,45,
03,13,17,24,28,45,
04,16,17,28,37,44,
01,02,14,20,21,41,
06,31,34,39,40,41,
13,14,27,31,46,48,
04,07,08,46,47,48,
01,10,11,15,30,42,
01,04,07,08,43,44,
08,13,17,26,29,48,
01,07,11,21,26,43,
03,09,19,20,22,46,
09,23,24,26,36,42,
01,13,25,34,37,41,
19,23,30,37,42,47,
09,11,15,22,39,43,
05,12,15,24,28,29,
09,13,18,27,39,40,
03,09,12,14,26,45,
02,06,20,31,44,49,
05,09,21,36,41,46,
01,12,22,25,36,49,
21,24,27,37,41,42,
02,21,23,28,34,45,
14,23,28,40,42,45,
11,15,31,33,36,37,
03,16,19,23,37,44,
03,08,31,35,41,49,
01,06,16,18,21,43,
06,08,17,24,28,48,
16,17,23,37,44,48,
02,10,19,28,37,38,
13,19,20,22,24,45,
01,07,11,15,26,37,
03,13,22,29,38,42,
09,21,30,34,41,43,
02,24,25,32,33,40,
05,08,11,19,36,49,
08,15,26,29,33,37,
06,16,24,28,32,46,
05,18,20,25,26,29,
06,12,29,33,34,36,
02,08,10,18,20,33,
02,04,14,21,32,34,
01,03,08,11,29,37,
13,19,31,35,39,45,
08,09,17,20,33,37,
07,10,35,37,47,49,
15,23,27,36,39,48,
12,25,26,30,35,47,
02,15,24,34,36,43,
01,13,19,24,43,46,
15,16,24,25,33,34,
05,08,21,24,32,38,
11,20,30,32,37,42,
23,25,27,42,44,46,
07,08,20,22,23,47,
05,06,27,30,37,43,
03,17,30,40,41,49,
12,17,19,27,29,32,
03,16,20,23,40,41,
01,07,24,30,40,49,
12,18,35,39,43,48,
13,24,27,37,44,48,
11,20,25,31,38,41,
04,06,11,19,30,48,
05,17,28,30,36,46,
05,11,15,25,28,47,
05,14,30,33,34,47,
08,09,28,29,42,45,
01,15,16,21,30,40,
06,11,16,32,46,49,
01,02,27,28,39,46,
19,24,26,34,41,46,
06,11,12,15,22,32,
02,20,22,23,38,47,
05,20,25,36,47,48,
01,09,19,28,34,36,
10,15,16,25,28,30,
18,26,28,37,44,47,
14,16,26,35,39,40,
06,08,13,20,23,41,
01,16,21,35,38,47,
04,07,13,29,42,44,
01,06,08,29,30,33,
02,12,14,33,43,45,
04,15,16,24,26,28,
05,08,11,17,29,43,
23,29,32,39,40,41,
05,16,28,29,41,42,
01,31,32,36,39,43,
01,06,18,19,40,42,
08,17,24,28,35,38,
16,19,20,22,24,25,
13,23,24,32,35,39,
02,03,08,32,37,45,
05,14,17,21,27,40,
14,16,20,22,40,44,
03,05,07,14,47,48,
11,12,14,42,44,47,
12,32,35,37,39,43,
02,14,28,35,43,44,
05,12,24,30,46,47,
06,07,23,29,43,49,
16,21,35,38,47,48,
03,10,15,28,34,39,
08,09,25,38,42,48,
11,29,35,43,45,49,
08,10,14,29,30,46,
07,08,16,19,20,41,
04,05,34,40,43,45,
11,13,16,24,30,41,
06,11,14,15,19,22,
19,29,31,37,38,39,
08,26,27,30,37,45,
